,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,AVG NUMBER OF WORDS PER SENTENCE,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
46,blackassign0048,,0.097,0.045,0.9382,1.0,25.23076923076923,25.23076923076923,328,1.7103658536585367,2,5.503048780487805
47,blackassign0050,,0.07,0.103,-0.996,1.0,24.280701754385966,24.280701754385966,1384,1.5989884393063585,2,5.236994219653179
48,blackassign0051,,0.07,0.022,0.9869,1.0,22.875,22.875,732,1.5669398907103824,5,5.090163934426229
49,blackassign0052,,0.16,0.059,0.9997,1.0,17.375,17.375,1946,1.5688591983556013,15,5.003083247687564
50,blackassign0053,,0.18,0.005,0.9992,0.9999999999999999,15.454545454545455,15.454545454545455,680,1.613235294117647,4,5.269117647058824
51,blackassign0054,,0.113,0.0,0.992,1.0,21.5,21.5,387,1.5090439276485788,1,5.129198966408269
52,blackassign0055,,0.102,0.014,0.9979,1.0,21.566037735849058,21.566037735849058,1143,1.537182852143482,4,4.9938757655293085
53,blackassign0056,,0.154,0.017,0.9978,1.0,25.916666666666668,25.916666666666668,622,1.7459807073954985,1,5.59967845659164
54,blackassign0057,,0.204,0.035,0.9979,0.999,13.620689655172415,13.620689655172415,395,1.5417721518987342,0,5.288607594936709
55,blackassign0058,,0.08,0.022,0.8399,0.999,15.181818181818182,15.181818181818182,167,1.8083832335329342,3,5.562874251497006
56,blackassign0059,,0.135,0.16,-0.9827,1.0,14.482142857142858,14.482142857142858,811,1.4919852034525278,31,4.911220715166461
57,blackassign0060,,0.25,0.022,0.9938,1.0,18.9,18.9,189,1.529100529100529,1,5.026455026455026
58,blackassign0061,,0.143,0.039,0.9991,0.999,17.08823529411765,17.08823529411765,1162,1.7994836488812394,0,5.831325301204819
59,blackassign0062,,0.092,0.196,-0.997,1.0,15.735294117647058,15.735294117647058,535,1.6317757009345795,11,5.220560747663551
60,blackassign0063,,0.075,0.094,-0.9835,0.9999999999999999,20.557692307692307,20.557692307692307,1069,1.5893358278765202,9,4.942937324602432
61,blackassign0064,,0.05,0.048,-0.8844,1.0,23.35135135135135,23.35135135135135,1728,1.7071759259259258,22,5.506944444444445
62,blackassign0065,,0.115,0.044,0.9991,1.0,24.38888888888889,24.38888888888889,1756,1.4834851936218678,22,4.837129840546697
63,blackassign0066,,0.111,0.051,0.9984,1.001,17.297619047619047,17.297619047619047,1453,1.5079146593255335,33,5.031658637302134
64,blackassign0067,,0.138,0.051,0.9983,1.0,12.36111111111111,12.36111111111111,890,1.448314606741573,1,4.696629213483146
65,blackassign0068,,0.126,0.021,0.9995,1.0,21.545454545454547,21.545454545454547,1422,1.460618846694796,8,4.694092827004219
66,blackassign0069,,0.168,0.034,0.9954,1.0,29.6875,29.6875,475,1.5410526315789475,8,4.823157894736842
67,blackassign0070,,0.133,0.023,0.9995,1.0,21.554054054054053,21.554054054054053,1595,1.6332288401253918,9,5.296551724137931
68,blackassign0071,,0.158,0.191,-0.9935,1.0,12.60759493670886,12.60759493670886,996,1.4909638554216869,17,4.929718875502008
69,blackassign0072,,0.171,0.06,0.9995,1.0,14.875,14.875,1190,1.4394957983193277,5,4.72436974789916
70,blackassign0073,,0.132,0.124,0.8256,1.0,20.551724137931036,20.551724137931036,1192,1.516778523489933,4,5.099832214765101
71,blackassign0074,,0.122,0.058,0.9985,1.0,15.319148936170214,15.319148936170214,1440,1.6979166666666667,13,5.370138888888889
72,blackassign0075,,0.156,0.19,-0.9946,0.9990000000000001,12.75609756097561,12.75609756097561,1046,1.5,19,4.97131931166348
73,blackassign0076,,0.123,0.072,0.9985,1.0,23.742424242424242,23.742424242424242,1567,1.5213784301212507,8,4.964262922782387
74,blackassign0077,,0.11,0.042,0.9944,1.0,29.5,29.5,767,1.6310299869621903,1,5.308996088657105
75,blackassign0078,,0.1,0.036,0.9964,1.0,29.775,29.775,1191,1.6792611251049538,1,5.528127623845508
76,blackassign0079,,0.084,0.095,-0.8901,0.9999999999999999,21.2875,21.2875,1703,1.5748678802113916,10,5.262477980035232
77,blackassign0080,,0.095,0.082,0.9979,0.9999999999999999,13.32258064516129,13.32258064516129,3304,1.4812348668280872,2,5.264830508474576
78,blackassign0081,,0.067,0.041,0.9859,1.0,21.11904761904762,21.11904761904762,1774,1.5693348365276212,18,5.1127395715896276
79,blackassign0082,,0.076,0.069,0.8307,1.0,24.07936507936508,24.07936507936508,1517,1.7251153592617008,0,5.659195781147001
80,blackassign0083,,0.083,0.014,0.9022,1.0,21.125,21.125,169,1.4733727810650887,3,4.893491124260355
81,blackassign0084,,0.148,0.008,0.9992,1.0,20.125,20.125,966,1.4834368530020703,3,5.12008281573499
82,blackassign0085,,0.096,0.049,0.9983,1.0,15.308333333333334,15.308333333333334,1837,1.5389221556886228,6,5.023952095808383
83,blackassign0086,,0.162,0.017,0.9998,1.0,18.385416666666668,18.385416666666668,1765,1.5739376770538243,6,5.218130311614731
